title	author	startpage	pages	volume	number	year	month	isbn	issn	journal
The Moving Spray Can: A Collection of Some Contemporary {English} Graffiti	Newall, Venetia	39	39--47	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
On the Pronunciation of \emph{Cunnilingus} in Dictionaries	Aman, Reinhold	48	48--50	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
A Continuation of a Glossary of Ethnic Slurs in {American} {English}	Eisiminger, Sterling	51	51--61	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
State of {California:} {Proposition} 63	{[Folklore]}	61	61	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Medical Group Nouns	Ture, Sue	63	63--66	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Fallout from {Chernobyl}: Radioactive and Irreverent {Polish} Humor	Morrison, James F.	67	67--70	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
America's Ambassadors of International Goodwill, Gesture-wise	Aman, Reinhold	70	70	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Acceptable but Not Grammatical	Jochnowitz, George	71	71--74	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
{MOQ}-Speak; Or, You Will Never Have to Use Dirty Words Again	Aman, Reinhold	75	75--84	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Thomas {Crapper's} {WC} and \emph{{Crapping} {Ken}}: A Back-Formation and a Circumlocution	Maher, John Peter	85	85--88	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Don't Clog Up the Love Current in Her Brain: Marriage Counseling, {Black} {Muslim} Style	Islam, Al	89	89--91	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Australian Maledicta	Aman, Reinhold	92	92--93	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Poetry of Porking	Oppenheimer, Joel	94	94--104	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Canadian Gay Jokes	Ben-Wa, Peter	105	105--108	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Comment on Aman's “{A} {Yiddish} {Minnie}-{Legend}” and the Romanization of {Yiddish}	Feinsilver, Lillian Mermin	109	109--123	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
How You Can Tell When It's Going to Be a Rotten Day	{[Folklore]}	124	124	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
A Glossary of {British}-{German} Motoring Terms	{[Folklore]}	125	125--126	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Oral and Verbal Abuse by Doctors and Nurses	Aman, Reinhold	127	127--138	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Clap Books	Clerval, Henry	139	139--141	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Bawdy Books	Aman, Reinhold	141	141--142	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Sexual Slang: Prostitutes, Pedophiles, Flagellators, Transvestites, and Necrophiles	Ashley, Leonard R. N.	143	143--198	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
An {Italian} Obituary	{[Folklore]}	199	199--200	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
A Taxonomy for Taboo-Word Studies	Eckler, A. Ross	201	201--203	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{{POSSLQ}} and \emph{{LIP}}	Aman, Reinhold	204	204--206	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Creation of a Pussy	{[Folklore]}	206	206	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
A Maledicta Bibliography	Jay, Timothy B.	207	207--224	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Official {Polish} Sex Quiz	{[Folklore]}	225	225--226	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Offensive Words in Dictionaries: {III.} \emph{Sodomy, Bestiality, Buggery, Bugger, Pederasty}	Aman, Reinhold	227	227--246	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
What Is This Crime That Dare Not Speak Its Name? {Legal}, Religious, and Journalistic Aspects of \emph{Sodomy}	Aman, Reinhold	247	247--268	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Chain Letter for Women Only	{[Folklore]}	268	268	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Kakologia: A Chronicle of Nasty Riddles and Naughty Wordplays	Aman, Reinhold	269	269--317	9		1986--1987		0-916500-29-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Dump on Vulgarity	King, Tabitha	5	5--13	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Everyone Uses Nasty Language	Aman, Reinhold	14	14	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Folk Criticism of Religiosity in the Graffiti of {New} {York} {City}	Read, Allen Walker	15	15--30	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Medical Maledicta from {San} {Francisco}	Barton, Richard O.	31	31--35	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
More Milwaukee Medical Maledicta	Ture, Sue	36	36	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Elementary {Georgian} Obscenity	Razvratnikov, Boris Sukitch	37	37--42	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Telephonic Cryptograms	Nuessel, Frank	43	43--44	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Phone-Smut	Aman, Reinhold	45	45--47	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Terms of Abuse, Terms of Endearment, and Pet Names for Breasts and Other Naughty Body Parts	Aman, Reinhold	49	49--77	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Pejorative Nicknames of Baseball All-Stars	Clifton, Merritt	78	78	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Cohen's Religious Museum	Cohen, Aaron	79	79--80	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Offensive Rock Band Names: A Linguistic Taxonomy	Salmons, Joe and Macaulay, Monica	81	81--99	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Results of Maledicta Poll 1988	Aman, Reinhold	100	100--104	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Tattling the Racist Laughter of {Alabama} Leaders, 1950–1967	Crew, Louie	105	105--114	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Beyond the Metaphor: Cursing in {Ulster}	Crozier, Alan	115	115--125	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Offensive Words in Dictionaries: {IV.} Ethnic, Racial, Religious, and Sexual Slurs in an {American} and an {Australian} Dictionary	Aman, Reinhold	126	126--135	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Letter to a {Pennsylvania} Postmaster	Aman, Reinhold	136	136	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
The {Peckerwood} {Poets}: A Tribute	Margalith, Sanford H.	137	137--143	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
1990 Attorney-Hunting Season and Bag Limit	{[Folklore]}	144	144	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Egyptian {Arabic} Abuse	Parkinson, Dilworth B.	145	145--161	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Instructional Graffiti	Stone, Rosetta	162	162	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Linguistic Taboos, Code-Words and Women's Use of Sexist Language: A Double Bind	Saporta, Sol	163	163--166	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{Challenger} Shuttle Jokes	Aman, Reinhold	167	167--183	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Slogans to Promote National Condom Week	Aman, Reinhold	184	184--188	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Catullus {XXXIII}	Salemi, Joseph S.	189	189--190	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Martial {XI.99}	Wind, Robert	191	191--192	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
An {Irishman's} Letter to the {DHSS} in Response to Receiving the {AIDS} Leaflet	{[Folklore]}	193	193--194	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Whose Anus? \emph{{Uranus}}	Preston, Dennis R.	195	195--199	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Departmental Counseling Sheet	{[Folklore]}	200	200--202	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Talk Dirty to Me: Sassy Sayings on Buttons, Cards, {T}-Shirts, and Rubber Stamps	Aman, Reinhold	203	203--208	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Pit, Tit, Clit	Anonymous	208	208	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{God Curse You, and the Curse Is That You Be What You Already Are!:} {Swahili} Culture, Power, and Badtalk	Swartz, Marc J.	209	209--230	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
The \emph{{Portagee}} in Speech and Joke	Monteiro, George	231	231--237	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Word Finder \& Spelling Checker: Or, Some of My Best Friends Are Knitters	Aman, Reinhold	238	238--239	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
English	Kunzke, Peter	239	239	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Taxonomy of Benediction and Malediction	Schmid, Rudi	240	240--242	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
An Open Letter to {Mike} {Royko}	Aman, Reinhold	243	243--244	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
A First Look at {Armenian} Maledicta	Želvys, Vladimir Ilyich	245	245--246	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
Kakologia: A Chronicle of Ribald Riddles and Wicked Wordplays	Aman, Reinhold	247	247--316	10		1988--1989		0-916500-30-6	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{Maledicta} Is Back!	Aman, Reinhold	4	4	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{J'accuse!} {An} Open Letter to {Janet} {Reno}, {Attorney} {General}, {U.S.} {Department} of {Injustice}	Aman, Reinhold	5	5--33	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
You're Ugly, Your Dick Is Small, and Everybody Fucks Your Mother! {The} Stand-Up Comedian's Response to the Heckler	Conway, Andrew	34	34--46	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{Door Whore} and Other {New} {Mexico} Restaurant Slang	Radford, Benjamin	47	47--48	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
Honky Chutzpah	{[Folklore]}	48	48	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Sanitized Ending of {William} {Faulkner's} \emph{{The} {Wild} {Palms}} Or, Fifty Years of No \emph{Shit}	Chappell, Charles	49	49--58	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
Mozart's Bizarre Verbal Behavior: A Case of {Tourette} Syndrome?	Fog, Rasmus	59	59--62	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
Debunking {Kennedy's} “{I} Am a Jelly-Filled Doughnut”	Aman, Reinhold	63	63--64	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
A {Provençal} \emph{Estribot}	Salemi, Joseph S.	65	65--71	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
Canonical Strictures against Swearing and Blaspheming	Salemi, Joseph S.	72	72--74	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{Tok Nogut:} {An} Introduction to Malediction in {Papua} {New} {Guinea}	Slone, Thomas H.	75	75--104	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
What \emph{-ist} Are You? {A} Guide to Common Prejudices	Aman, Reinhold	105	105--112	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
Obscenity and Vulgarity in {African} Oral Folklore	Ojoade, J. Olowo	113	113--126	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
Ham and Quim	Teruggi, Mario E.	127	127	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{Nomen Est Omen}	Aman, Reinhold	128	128	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
Do You Like Aural? {British} Phone Sex Ads	Crawford, Neil	129	129--132	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
Some Sorority and Fraternity Nicknames	Smith, Michael K. and Reaves, Gail	133	133--138	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
Miscommunication	{[Folklore]}	138	138	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
Swearing as a Function of Gender in the Language of {Midwestern} {American} College Students: Who Does It More, What Do They Say, When and Where Do They Do It, and Why Do They Do It?	Murray, Thomas E.	139	139--152	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
Parliament of Fowls on {Dog} {River}	McLean, Arthur	153	153	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
Kakologia	Aman, Reinhold	154	154--158	11		1990--1995		0-916500-31-4	0363-3659	Maledicta: The International Journal of Verbal Aggression
Panning a Panner	Aman, Reinhold	4	4	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Domino's {Pizza} Jargon	Foss, Gwen	5	5--24	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Presidential Candidates 1996	Aman, Reinhold	24	24	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Wicked Cognates	Whallon, William	25	25--28	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Medieval Maledicta	Aman, Reinhold	28	28	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
On the Historical Longevity of One Four-Letter Word: The Interplay of Phonology and Semantics	Noguchi, Rei R.	29	29--43	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Welcome to the Psychiatric Hotline	{[Folklore]}	43	43	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Uncle {Mal's} Secret List of Contributors	{Uncle Maledictus}	44	44--48	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Dutch Soldiers' Latrinalia	Salleveldt, Henk	49	49--84	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Lance {Ito's} Side Bar \& Grill	{[Folklore]}	84	84	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Sex and Violence in the {Indo}-{European} Languages	Ogier, James M.	85	85--90	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Rake	Hamilton, Thomas	90	90	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Lexical Categories of Homosexual Behaviour in Modern {Burmese}	van Driem, George	91	91--110	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Unchristian and Dangerous: Censoring \emph{{Maledicta}}	Aman, Reinhold	111	111--114	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Flames \& Smokey	Aman, Reinhold	114	114	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Consequences of {Yugoslav} Wars on the Occurrence of Swearwords in the Mass Media	Nežmah, Bernard	115	115--118	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Susan {Catherine's} Overheard Conversations	Aman, Reinhold	119	119--120	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
The Language and Style of Malevolence: A Language Analysis of {Yoruba} \emph{{Èébú}}	Ọládèjì, Níjì	121	121--130	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Shit Happens	Aman, Reinhold	131	131--146	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Clinton Administration Playbill	Giwer, Matt and Aman, Reinhold	146	146	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Linguistic and Blasphemous Aspects of {Bavarian} Micturition and {American} Toilet Names	Aman, Reinhold	147	147--151	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Kakologia	Aman, Reinhold	152	152--157	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Bibliography	Aman, Reinhold	158	158	12		1996		0-916500-32-2	0363-3659	Maledicta: The International Journal of Verbal Aggression
Is This the End of \emph{{Maledicta}}? {A} Maledictorial Not for the Faint of Heart	Aman, Reinhold “Amaretto”	5	5--14	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
“{Please} Delete the Following…” Censoring a {Saturday} Morning Cartoon Show	Pontac, Ken	15	15--20	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Joe {Zeugma} Limericks	Clary, Hugh	21	21--22	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
How {Bulgarians} Relieve Their Souls	Zhelvis, Vladimir I.	23	23--24	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Expensive \emph{{Arschloch}}: {German} Traffic Fines	Aman, Reinhold	25	25--26	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
How to Decipher Personal Ads		27	27--28	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Women's {English} and Men's {English}		28	28	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Some Terms for Women at an {Australian} Military Academy	Moore, Bruce	29	29--45	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Chemical Analysis of Woman		46	46	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Dysphemism and Euphemism in the Erotica of {Henry} {Miller} and {Anaïs} {Nin}	Palmer, Joe Darwin	47	47--49	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Queer Sisters	Aman, Reinhold	50	50	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
“{Jew} Motherfucker” and “Nigger”: The Foulmouthed \& Lying {Clintons}	Aman, Reinhold	51	51--61	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{Fuck} and \emph{Fucking} Throughout History		62	62	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Finnish Maledicta and Euphemisms	Halmari, Helena	63	63--72	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Romani Insults	Gregersen, Edgar A.	73	73--79	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Quotes From {American} Athletes		80	80	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{{Anal} {Cunt}} Song Titles	Aman, Reinhold	81	81--82	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Scatological Flyting in the Colloquies of {Aelfric}, Surnamed “{The} {Bat}”	Porter, David W.	83	83--89	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Chiding {Chinese} Children-Chiders		90	90	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
\emph{Ethopathy:} {A} Word Whose Time Has Come	Salemi, Joseph S.	91	91--102	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Dutch Terms of Abuse	van der Waal, Carla	103	103--107	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
City of {New} {York}: Revised High School Math Proficiency Exam		108	108	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Vocubulary From a {West}-{Indian} Men's Room	Starr, Christopher K. and Thomas, Mark A.	109	109--121	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Israeli Politicians' Insults		122	122	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
The {Lord's} {Prayer} in {Ebonics}		122	122	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Modern {Swahili} Vulvas and Vaginas	Constantine, Peter	123	123--125	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Theodore {Dreiser's} Literary Lust	McLeish, John	126	126	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Porn Actresses Say the Darndest Things	Andrews, Kami and Aman, Reinhold	127	127--131	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Miscellany	Aman, Reinhold	132	132--136	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Kakologia	Aman, Reinhold	137	137--154	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
The {Schitt} {Clan} History		155	155	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
Bibliography	Aman, Reinhold	156	156--157	13		1997--2004		0-916500-33-0	0363-3659	Maledicta: The International Journal of Verbal Aggression
